geh.	go.
hallo!	hi.
gruß gott!	hi.
lauf!	run!
lauf!	run.
potzdonner!	wow!
donnerwetter!	wow!
feuer!	fire!
hilfe!	help!
zu hulf!	help!
stopp!	stop!
anhalten!	stop!
warte!	wait!
warte.	wait.
fang an.	begin.
mach weiter.	go on.
hallo!	hello!
sers!	hello!
beeil dich!	hurry!
schnell!	hurry!
ich versteckte mich.	i hid.
ich habe mich versteckt.	i hid.
ich rannte.	i ran.
ich verstehe.	i see.
aha.	i see.
ich probiere es.	i try.
ich hab gewonnen!	i won!
ich habe gewonnen!	i won!
entspann dich.	relax.
feuer!	shoot!
schieß!	shoot!
lacheln!	smile.
frag mich!	ask me.
fragt mich!	ask me.
fragen sie mich!	ask me.
angriff!	attack!
attacke!	attack!
zum wohl!	cheers!
iss es.	eat it.
iss auf.	eat up.
iss auf!	eat up.
keine bewegung!	freeze!
stehenbleiben!	freeze!
geh jetzt!	go now.
verstanden!	got it!
ich hab’s!	got it!
aha!	got it!
kapiert?	got it?
verstanden?	got it?
einverstanden?	got it?
er rannte.	he ran.
er lief.	he ran.
mach mit!	hop in.
spring rein!	hop in.
druck mich!	hug me.
nimm mich in den arm!	hug me.
umarme mich!	hug me.
mir ist es wichtig.	i care.
ich fiel.	i fell.
ich fiel hin.	i fell.
ich sturzte.	i fell.
ich bin hingefallen.	i fell.
ich bin gesturzt.	i fell.
ich fluchtete.	i fled.
ich bin gefluchtet.	i fled.
ich weiß.	i know.
ich habe gelogen.	i lied.
ich habe verloren.	i lost.
ich habe bezahlt.	i paid.
ich zahlte.	i paid.
ich sang.	i sang.
ich spuckte.	i spit.
ich habe gespuckt.	i spit.
ich schwimme.	i swim.
ich weinte.	i wept.
ich habe geweint.	i wept.
ich bin 19 jahre alt.	i'm 19.
ich bin 19.	i'm 19.
mir geht's gut.	i'm ok.
es geht mir gut.	i'm ok.
ich bin wach.	i'm up.
ich bin auf.	i'm up.
hort zu.	listen.
unmoglich!	no way!
das kommt nicht in frage!	no way!
das gibt’s doch nicht!	no way!
ausgeschlossen!	no way!
in keinster weise!	no way!
wirklich?	really?
echt?	really?
im ernst?	really?
danke!	thanks.
versuch’s!	try it.
wir versuchen es.	we try.
wir haben gewonnen.	we won.
warum ich?	why me?
frag tom!	ask tom.
fragen sie tom!	ask tom.
fragt tom!	ask tom.
fantastisch!	awesome!
entspann dich!	be cool.
sei nicht ungerecht!	be fair.
sei fair!	be fair.
sei nett!	be kind.
sei nett!	be nice.
seien sie nett!	be nice.
geh weg!	beat it.
hau ab!	beat it.
verschwinde!	beat it.
verdufte!	beat it.
mach dich fort!	beat it.
zieh leine!	beat it.
mach dich vom acker!	beat it.
verzieh dich!	beat it.
verkrumele dich!	beat it.
troll dich!	beat it.
zisch ab!	beat it.
pack dich!	beat it.
mach ’ne fliege!	beat it.
schwirr ab!	beat it.
mach die sause!	beat it.
scher dich weg!	beat it.
scher dich fort!	beat it.
verbrenne es!	burn it.
verbrennt es!	burn it.
verbrennen sie es!	burn it.
vergrabe es!	bury it.
ruf mich an.	call me.
komm herein.	come in.
herein!	come in.
komm!	come on!
kommt!	come on!
mach schon!	come on!
macht schon!	come on!
komm schon!	come on.
fallen lassen!	drop it.
falte es zusammen!	fold it.
hol tom.	get tom.
raus!	get out!
geht raus!	get out!
geh raus.	get out.
geht raus!	get out.
geh weg!	go away!
hau ab!	go away!
verschwinde!	go away!
verdufte!	go away!
mach dich fort!	go away!
zieh leine!	go away!
mach dich vom acker!	go away!
verzieh dich!	go away!
verkrumele dich!	go away!
troll dich!	go away!
zisch ab!	go away!
pack dich!	go away!
mach ’ne fliege!	go away!
schwirr ab!	go away!
mach die sause!	go away!
scher dich weg!	go away!
scher dich fort!	go away!
geh weg!	go away.
verpiss dich!	go away.
hau ab!	go away.
verschwinde!	go away.
verdufte!	go away.
mach dich fort!	go away.
zieh leine!	go away.
mach dich vom acker!	go away.
verzieh dich!	go away.
verkrumele dich!	go away.
troll dich!	go away.
zisch ab!	go away.
pack dich!	go away.
mach ’ne fliege!	go away.
schwirr ab!	go away.
mach die sause!	go away.
scher dich weg!	go away.
scher dich fort!	go away.
gehen sie weg.	go away.
geh nach hause.	go home.
geh heim.	go home.
auf wiedersehen!	goodbye!
leb wohl!	goodbye!
tschuss!	goodbye!
nicht nachlassen!	hang on!
warte!	hang on.
er kam.	he came.
er ist gegangen.	he left.
er hat gekundigt.	he quit.
er rennt.	he runs.
er lauft.	he runs.
hilf mir.	help me.
hilf uns!	help us.
helft uns!	help us.
helfen sie uns!	help us.
hallo, tom!	hi, tom.
schlage tom!	hit tom.
schlagt tom!	hit tom.
schlagen sie tom!	hit tom.
nicht bewegen!	hold it!
warte!	hold it!
stehen bleiben!	hold it.
bleib stehen!	hold it.
bleiben sie stehen!	hold it.
bleibt stehen!	hold it.
warten sie kurz!	hold on.
umarme tom!	hug tom.
umarmen sie tom!	hug tom.
umarmt tom!	hug tom.
druckt tom!	hug tom.
drucken sie tom!	hug tom.
druck tom!	hug tom.
ich bin einverstanden.	i agree.
ich weinte.	i cried.
ich habe geweint.	i cried.
ich fuhr!	i drove.
ich bin gefahren!	i drove.
ich fror.	i froze.
ich habe gefroren.	i froze.
ich schnarche.	i snore.
ich habe geschworen.	i swore.
ich schwur.	i swore.
ich winkte.	i waved.
ich habe gewunken.	i waved.
ich gehe.	i'll go.
ich bin schlecht.	i'm bad.
ich bin fett.	i'm fat.
ich bin dick.	i'm fat.
ich wurde getroffen!	i'm hit!
ich bin verruckt.	i'm mad.
ich bin neu.	i'm new.
ich bin alt.	i'm old.
ich bin traurig.	i'm sad.
ich bin schuchtern.	i'm shy.
ich bin nass.	i'm wet.
es ist in ordnung.	it's ok.
ich bin’s.	it's me!
ich bin’s.	it's me.
komm mit.	join us.
kommt mit.	join us.
behalt es!	keep it.
behalt ihn!	keep it.
behalt sie!	keep it.
behalten sie ihn!	keep it.
behalten sie sie!	keep it.
behalten sie es!	keep it.
behaltet ihn!	keep it.
behaltet sie!	keep it.
behaltet es!	keep it.
tote es!	kill it.
kusst mich.	kiss me.
leg dich hin!	lie low.
hinlegen!	lie low.
niederlegen!	lie low.
leg dich nieder!	lie low.
legt euch nieder!	lie low.
legen sie sich nieder!	lie low.
legt euch hin!	lie low.
legen sie sich hin!	lie low.
schließ es ab.	lock it.
schließe sie ab.	lock it.
schließ ihn ab.	lock it.
offne es!	open it.
offnet es!	open it.
offnen sie es!	open it.
mach auf!	open up.
perfekt!	perfect!
zieh dran.	pull it.
druck drauf.	push it.
tschuss!	see you!
wir sehen uns.	see you.
zeig's mir!	show me.
halt’s maul!	shut up!
bis spater!	so long.
hor auf.	stop it.
nimm es.	take it.
nehmt es.	take it.
nehmen sie es.	take it.
sag es mir.	tell me.
erzahl's mir.	tell me.
tom aß.	tom ate.
tom hat gegessen.	tom ate.
thomas versteckte sich.	tom hid.
thomas hat sich versteckt.	tom hid.
tom rannte.	tom ran.
tom ist gerannt.	tom ran.
tom hat gewonnen.	tom won.
warte mal!	wait up.
warten sie mal!	wait up.
wartet mal!	wait up.
wach auf!	wake up!
wachen sie auf!	wake up!
wach auf!	wake up.
wachen sie auf!	wake up.
wasch dir die hande.	wash up.
wasch dir das gesicht.	wash up.
wir haben verloren.	we lost.
willkommen!	welcome.
wer hat gegessen?	who ate?
wer aß?	who ate?
wer rannte?	who ran?
wer ist gerannt?	who ran?
wer hat gewonnen?	who won?
du laufst.	you run.
sie laufen.	you run.
du hast gewonnen.	you won.
alle aufstehen!	all rise.
bin ich dick?	am i fat?
frag sie.	ask them.
komm nicht naher!	back off.
sei ein mann!	be a man.
sei mutig!	be brave.
sei tapfer!	be brave.
seien sie tapfer!	be brave.
seid tapfer!	be brave.
fassen sie sich kurz.	be brief.
fass dich kurz.	be brief.
fasst euch kurz.	be brief.
sei ruhig.	be still.
ruf tom an!	call tom.
rufe tom an!	call tom.
rufen sie tom an!	call tom.
ruft tom an!	call tom.
kann ich gehen?	can i go?
fang mich!	catch me.
fangen sie mich!	catch me.
fangt mich!	catch me.
kopf hoch!	cheer up!
reg dich ab!	cool off!
leg ihm handschellen an.	cuff him.
legen sie ihm handschellen an.	cuff him.
geh nicht.	don't go.
fahr weiter.	drive on.
finde tom.	find tom.
findet tom.	find tom.
finden sie tom.	find tom.
beheben sie das.	fix this.
behebe das.	fix this.
repariere das.	fix this.
reparieren sie das.	fix this.
geh weg!	get away!
verpiss dich!	get away!
hau ab!	get away!
verschwinde!	get away!
verdufte!	get away!
mach dich fort!	get away!
zieh leine!	get away!
mach dich vom acker!	get away!
verzieh dich!	get away!
verkrumele dich!	get away!
troll dich!	get away!
zisch ab!	get away!
pack dich!	get away!
mach ’ne fliege!	get away!
schwirr ab!	get away!
mach die sause!	get away!
scher dich weg!	get away!
scher dich fort!	get away!
