<start> geh . <end>	<start> go . <end>
<start> hallo ! <end>	<start> hi . <end>
<start> gruay gott ! <end>	<start> hi . <end>
<start> lauf ! <end>	<start> run ! <end>
<start> lauf ! <end>	<start> run . <end>
<start> potzdonner ! <end>	<start> wow ! <end>
<start> donnerwetter ! <end>	<start> wow ! <end>
<start> feuer ! <end>	<start> fire ! <end>
<start> hilfe ! <end>	<start> help ! <end>
<start> zu hulf ! <end>	<start> help ! <end>
<start> stopp ! <end>	<start> stop ! <end>
<start> anhalten ! <end>	<start> stop ! <end>
<start> warte ! <end>	<start> wait ! <end>
<start> warte . <end>	<start> wait . <end>
<start> fang an . <end>	<start> begin . <end>
<start> mach weiter . <end>	<start> go on . <end>
<start> hallo ! <end>	<start> hello ! <end>
<start> sers ! <end>	<start> hello ! <end>
<start> beeil dich ! <end>	<start> hurry ! <end>
<start> schnell ! <end>	<start> hurry ! <end>
<start> ich versteckte mich . <end>	<start> i hid . <end>
<start> ich habe mich versteckt . <end>	<start> i hid . <end>
<start> ich rannte . <end>	<start> i ran . <end>
<start> ich verstehe . <end>	<start> i see . <end>
<start> aha . <end>	<start> i see . <end>
<start> ich probiere es . <end>	<start> i try . <end>
<start> ich hab gewonnen ! <end>	<start> i won ! <end>
<start> ich habe gewonnen ! <end>	<start> i won ! <end>
<start> entspann dich . <end>	<start> relax . <end>
<start> feuer ! <end>	<start> shoot ! <end>
<start> schieay ! <end>	<start> shoot ! <end>
<start> lacheln ! <end>	<start> smile . <end>
<start> frag mich ! <end>	<start> ask me . <end>
<start> fragt mich ! <end>	<start> ask me . <end>
<start> fragen sie mich ! <end>	<start> ask me . <end>
<start> angriff ! <end>	<start> attack ! <end>
<start> attacke ! <end>	<start> attack ! <end>
<start> zum wohl ! <end>	<start> cheers ! <end>
<start> iss es . <end>	<start> eat it . <end>
<start> iss auf . <end>	<start> eat up . <end>
<start> iss auf ! <end>	<start> eat up . <end>
<start> keine bewegung ! <end>	<start> freeze ! <end>
<start> stehenbleiben ! <end>	<start> freeze ! <end>
<start> geh jetzt ! <end>	<start> go now . <end>
<start> verstanden ! <end>	<start> got it ! <end>
<start> ich haba s ! <end>	<start> got it ! <end>
<start> aha ! <end>	<start> got it ! <end>
<start> kapiert ? <end>	<start> got it ? <end>
<start> verstanden ? <end>	<start> got it ? <end>
<start> einverstanden ? <end>	<start> got it ? <end>
<start> er rannte . <end>	<start> he ran . <end>
<start> er lief . <end>	<start> he ran . <end>
<start> mach mit ! <end>	<start> hop in . <end>
<start> spring rein ! <end>	<start> hop in . <end>
<start> druck mich ! <end>	<start> hug me . <end>
<start> nimm mich in den arm ! <end>	<start> hug me . <end>
<start> umarme mich ! <end>	<start> hug me . <end>
<start> mir ist es wichtig . <end>	<start> i care . <end>
<start> ich fiel . <end>	<start> i fell . <end>
<start> ich fiel hin . <end>	<start> i fell . <end>
<start> ich sturzte . <end>	<start> i fell . <end>
<start> ich bin hingefallen . <end>	<start> i fell . <end>
<start> ich bin gesturzt . <end>	<start> i fell . <end>
<start> ich fluchtete . <end>	<start> i fled . <end>
<start> ich bin gefluchtet . <end>	<start> i fled . <end>
<start> ich weiay . <end>	<start> i know . <end>
<start> ich habe gelogen . <end>	<start> i lied . <end>
<start> ich habe verloren . <end>	<start> i lost . <end>
<start> ich habe bezahlt . <end>	<start> i paid . <end>
<start> ich zahlte . <end>	<start> i paid . <end>
<start> ich sang . <end>	<start> i sang . <end>
<start> ich spuckte . <end>	<start> i spit . <end>
<start> ich habe gespuckt . <end>	<start> i spit . <end>
<start> ich schwimme . <end>	<start> i swim . <end>
<start> ich weinte . <end>	<start> i wept . <end>
<start> ich habe geweint . <end>	<start> i wept . <end>
<start> ich bin jahre alt . <end>	<start> I am . <end>
<start> ich bin . <end>	<start> I am . <end>
<start> mir geht s gut . <end>	<start> I am ok . <end>
<start> es geht mir gut . <end>	<start> I am ok . <end>
<start> ich bin wach . <end>	<start> I am up . <end>
<start> ich bin auf . <end>	<start> I am up . <end>
<start> hort zu . <end>	<start> listen . <end>
<start> unmoglich ! <end>	<start> no way ! <end>
<start> das kommt nicht in frage ! <end>	<start> no way ! <end>
<start> das gibta s doch nicht ! <end>	<start> no way ! <end>
<start> ausgeschlossen ! <end>	<start> no way ! <end>
<start> in keinster weise ! <end>	<start> no way ! <end>
<start> wirklich ? <end>	<start> really ? <end>
<start> echt ? <end>	<start> really ? <end>
<start> im ernst ? <end>	<start> really ? <end>
<start> danke ! <end>	<start> thanks . <end>
<start> versucha s ! <end>	<start> try it . <end>
<start> wir versuchen es . <end>	<start> we try . <end>
<start> wir haben gewonnen . <end>	<start> we won . <end>
<start> warum ich ? <end>	<start> why me ? <end>
<start> frag tom ! <end>	<start> ask tom . <end>
<start> fragen sie tom ! <end>	<start> ask tom . <end>
<start> fragt tom ! <end>	<start> ask tom . <end>
<start> fantastisch ! <end>	<start> awesome ! <end>
<start> entspann dich ! <end>	<start> be cool . <end>
<start> sei nicht ungerecht ! <end>	<start> be fair . <end>
<start> sei fair ! <end>	<start> be fair . <end>
<start> sei nett ! <end>	<start> be kind . <end>
<start> sei nett ! <end>	<start> be nice . <end>
<start> seien sie nett ! <end>	<start> be nice . <end>
<start> geh weg ! <end>	<start> beat it . <end>
<start> hau ab ! <end>	<start> beat it . <end>
<start> verschwinde ! <end>	<start> beat it . <end>
<start> verdufte ! <end>	<start> beat it . <end>
<start> mach dich fort ! <end>	<start> beat it . <end>
<start> zieh leine ! <end>	<start> beat it . <end>
<start> mach dich vom acker ! <end>	<start> beat it . <end>
<start> verzieh dich ! <end>	<start> beat it . <end>
<start> verkrumele dich ! <end>	<start> beat it . <end>
<start> troll dich ! <end>	<start> beat it . <end>
<start> zisch ab ! <end>	<start> beat it . <end>
<start> pack dich ! <end>	<start> beat it . <end>
<start> mach a ne fliege ! <end>	<start> beat it . <end>
<start> schwirr ab ! <end>	<start> beat it . <end>
<start> mach die sause ! <end>	<start> beat it . <end>
<start> scher dich weg ! <end>	<start> beat it . <end>
<start> scher dich fort ! <end>	<start> beat it . <end>
<start> verbrenne es ! <end>	<start> burn it . <end>
<start> verbrennt es ! <end>	<start> burn it . <end>
<start> verbrennen sie es ! <end>	<start> burn it . <end>
<start> vergrabe es ! <end>	<start> bury it . <end>
<start> ruf mich an . <end>	<start> call me . <end>
<start> komm herein . <end>	<start> come in . <end>
<start> herein ! <end>	<start> come in . <end>
<start> komm ! <end>	<start> come on ! <end>
<start> kommt ! <end>	<start> come on ! <end>
<start> mach schon ! <end>	<start> come on ! <end>
<start> macht schon ! <end>	<start> come on ! <end>
<start> komm schon ! <end>	<start> come on . <end>
<start> fallen lassen ! <end>	<start> drop it . <end>
<start> falte es zusammen ! <end>	<start> fold it . <end>
<start> hol tom . <end>	<start> get tom . <end>
<start> raus ! <end>	<start> get out ! <end>
<start> geht raus ! <end>	<start> get out ! <end>
<start> geh raus . <end>	<start> get out . <end>
<start> geht raus ! <end>	<start> get out . <end>
<start> geh weg ! <end>	<start> go away ! <end>
<start> hau ab ! <end>	<start> go away ! <end>
<start> verschwinde ! <end>	<start> go away ! <end>
<start> verdufte ! <end>	<start> go away ! <end>
<start> mach dich fort ! <end>	<start> go away ! <end>
<start> zieh leine ! <end>	<start> go away ! <end>
<start> mach dich vom acker ! <end>	<start> go away ! <end>
<start> verzieh dich ! <end>	<start> go away ! <end>
<start> verkrumele dich ! <end>	<start> go away ! <end>
<start> troll dich ! <end>	<start> go away ! <end>
<start> zisch ab ! <end>	<start> go away ! <end>
<start> pack dich ! <end>	<start> go away ! <end>
<start> mach a ne fliege ! <end>	<start> go away ! <end>
<start> schwirr ab ! <end>	<start> go away ! <end>
<start> mach die sause ! <end>	<start> go away ! <end>
<start> scher dich weg ! <end>	<start> go away ! <end>
<start> scher dich fort ! <end>	<start> go away ! <end>
<start> geh weg ! <end>	<start> go away . <end>
<start> verpiss dich ! <end>	<start> go away . <end>
<start> hau ab ! <end>	<start> go away . <end>
<start> verschwinde ! <end>	<start> go away . <end>
<start> verdufte ! <end>	<start> go away . <end>
<start> mach dich fort ! <end>	<start> go away . <end>
<start> zieh leine ! <end>	<start> go away . <end>
<start> mach dich vom acker ! <end>	<start> go away . <end>
<start> verzieh dich ! <end>	<start> go away . <end>
<start> verkrumele dich ! <end>	<start> go away . <end>
<start> troll dich ! <end>	<start> go away . <end>
<start> zisch ab ! <end>	<start> go away . <end>
<start> pack dich ! <end>	<start> go away . <end>
<start> mach a ne fliege ! <end>	<start> go away . <end>
<start> schwirr ab ! <end>	<start> go away . <end>
<start> mach die sause ! <end>	<start> go away . <end>
<start> scher dich weg ! <end>	<start> go away . <end>
<start> scher dich fort ! <end>	<start> go away . <end>
<start> gehen sie weg . <end>	<start> go away . <end>
<start> geh nach hause . <end>	<start> go home . <end>
<start> geh heim . <end>	<start> go home . <end>
<start> auf wiedersehen ! <end>	<start> goodbye ! <end>
<start> leb wohl ! <end>	<start> goodbye ! <end>
<start> tschuss ! <end>	<start> goodbye ! <end>
<start> nicht nachlassen ! <end>	<start> hang on ! <end>
<start> warte ! <end>	<start> hang on . <end>
<start> er kam . <end>	<start> he came . <end>
<start> er ist gegangen . <end>	<start> he left . <end>
<start> er hat gekundigt . <end>	<start> he quit . <end>
<start> er rennt . <end>	<start> he runs . <end>
<start> er lauft . <end>	<start> he runs . <end>
<start> hilf mir . <end>	<start> help me . <end>
<start> hilf uns ! <end>	<start> help us . <end>
<start> helft uns ! <end>	<start> help us . <end>
<start> helfen sie uns ! <end>	<start> help us . <end>
<start> hallo , tom ! <end>	<start> hi , tom . <end>
<start> schlage tom ! <end>	<start> hit tom . <end>
<start> schlagt tom ! <end>	<start> hit tom . <end>
<start> schlagen sie tom ! <end>	<start> hit tom . <end>
<start> nicht bewegen ! <end>	<start> hold it ! <end>
<start> warte ! <end>	<start> hold it ! <end>
<start> stehen bleiben ! <end>	<start> hold it . <end>
<start> bleib stehen ! <end>	<start> hold it . <end>
<start> bleiben sie stehen ! <end>	<start> hold it . <end>
<start> bleibt stehen ! <end>	<start> hold it . <end>
<start> warten sie kurz ! <end>	<start> hold on . <end>
<start> umarme tom ! <end>	<start> hug tom . <end>
<start> umarmen sie tom ! <end>	<start> hug tom . <end>
<start> umarmt tom ! <end>	<start> hug tom . <end>
